Unique ID,Post,Labels Set,Filtered_Post
11,"RT @_Pb_swain_: मोदीजी और जब सारा देश सेना के साथ खडी है,

पर दो सयाने विदेश मे पडे है?🤔 इसलिए बोलते हैं विदेशी मां का बेटा कभी देशभक्त न…",hate,"RT @_Pb_swain_: मोदीजी देश सेना खडी है, सयाने विदेश पडे है?🤔 बोलते विदेशी मां बेटा देशभक्त न…"
12,"RT @ShilpiSinghINC: 48000 घरों को तोड़ने का आदेश आया है, किसी को कोई फर्क़ नहीं पड़ता!

अमीरों के 5 में से 1 मकान के किसी अवैध हिस्से भी एक…",offensive,"RT @ShilpiSinghINC: 48000 घरों तोड़ने आदेश आया है, फर्क़ पड़ता! अमीरों 5 1 मकान अवैध हिस्से एक…"
13,"जब बीजेपी प्रवक्ता @sambitswaraj ने कांग्रेस प्रवक्ता @SupriyaShrinate को कहा हेड मिस्ट्रेस तो सुनिए कांग्रेस प्रवक्ता ने क्या जवाब दिया
#हल्ला_बोल @anjanaomkashyap #RE https://t.co/WWDYuWikCE",non-hostile,बीजेपी प्रवक्ता @sambitswaraj कांग्रेस प्रवक्ता @SupriyaShrinate हेड मिस्ट्रेस सुनिए कांग्रेस प्रवक्ता जवाब #हल्ला_बोल @anjanaomkashyap #RE https://t.co/WWDYuWikCE
14,"बियर ग्रिल्स के साथ खतरनाक जंगलों में दिखेंगे अक्षय कुमार, जारी किया वीडियो

@akshaykumar
@BearGrylls

https://t.co/VPLwEQsqAv",non-hostile,"बियर ग्रिल्स खतरनाक जंगलों दिखेंगे अक्षय कुमार, जारी वीडियो @akshaykumar @BearGrylls https://t.co/VPLwEQsqAv"
15,"आजम खान की बेटी पर ससूर ने किया रेप।
अब quatation ये उठता है कि होने वाला बच्चा आजम खान के रियल दमाद को क्या बोलेगा।
",offensive,आजम खान बेटी ससूर रेप। quatation उठता वाला बच्चा आजम खान रियल दमाद बोलेगा।
16,कांग्रेस मूल की कंगना रनौत बिहार चुनाव में भाजपा का प्रचार करेंगी! #NATIONALNEWS,fake,कांग्रेस मूल कंगना रनौत बिहार चुनाव भाजपा प्रचार करेंगी! #NATIONALNEWS
17,"होम आइसोलेशन में रहने वाले लोग थर्मामीटर तथा पल्स ऑक्सीमीटर साथ रखें। यदि किसी को खांसी या बुखार आये अथवा सांस फूले तो तत्काल हेल्पलाइन नं. 18001805145 अथवा @CMHelpline1076 पर सम्पर्क करे: ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी

@ShishirGoUP",non-hostile,"होम आइसोलेशन रहने लोग थर्मामीटर पल्स ऑक्सीमीटर रखें। खांसी बुखार आये सांस फूले तत्काल हेल्पलाइन नं. 18001805145 @CMHelpline1076 सम्पर्क करे: ACS, चिकित्सा स्वास्थ्य, श्री अमित मोहन प्रसाद जी @ShishirGoUP"
18,"पूर्व प्रधानमंत्री डॉ. मनमोहन सिंह ने 10 राजाजी मार्ग पहुंचकर पूर्व राष्ट्रपति प्रणव मुखर्जी को श्रद्धांजलि दी

#PranabMukherjee https://t.co/egBXvOgC1w",non-hostile,पूर्व प्रधानमंत्री डॉ. मनमोहन सिंह 10 राजाजी मार्ग पहुंचकर पूर्व राष्ट्रपति प्रणव मुखर्जी श्रद्धांजलि दी #PranabMukherjee https://t.co/egBXvOgC1w
19,"IPL छोड़ेंगे @harbhajan_singh ? @ChennaiIPL अधिकारी ने दिया अपडेट

https://t.co/9zFnEXdtAk

#HarbhajanSingh #IPL2020 https://t.co/z9Dpaffw3I",non-hostile,IPL छोड़ेंगे @harbhajan_singh ? @ChennaiIPL अधिकारी अपडेट https://t.co/9zFnEXdtAk #HarbhajanSingh #IPL2020 https://t.co/z9Dpaffw3I
20,"#Saharanpur चेकिंग के बहाने उगाही करने वाले गिरफ्तार, 2 शातिर बदमाशों को पुलिस ने किया गिरफ्तार, स्कूटी, 2 तमंचे, मोबाइल बरामद किया, देहात कोतवाली पुलिस ने किया गिरफ्तार। @saharanpurpol @digsaharanpur @Uppolice #policemedianews",non-hostile,"#Saharanpur चेकिंग बहाने उगाही गिरफ्तार, 2 शातिर बदमाशों पुलिस गिरफ्तार, स्कूटी, 2 तमंचे, मोबाइल बरामद किया, देहात कोतवाली पुलिस गिरफ्तार। @saharanpurpol @digsaharanpur @Uppolice #policemedianews"
21,"जापान के नोबल पुरस्कार जीतने वाले ओर 4 साल तक चीन में काम करने वाले प्रोफेसर #टासुकू_होंजो का दावा, कोरोना प्राकृतिक नही कृत्रिम वायरस है जो चीन ने बनाया है।",fake,"जापान नोबल पुरस्कार जीतने 4 साल चीन काम प्रोफेसर #टासुकू_होंजो दावा, कोरोना प्राकृतिक नही कृत्रिम वायरस चीन बनाया है।"
22,दिल्ली में हिंदुओं और सिक्खों की सामूहिक हत्याएं करने के लिए आतंकवादी जेहादी घी के डिब्बे में अवैध हथियार सप्लाई करते हुए धर दबोचे गए।,"fake,hate",दिल्ली हिंदुओं सिक्खों सामूहिक हत्याएं आतंकवादी जेहादी घी डिब्बे अवैध हथियार सप्लाई धर दबोचे गए।
23,कुत्ते में भी एकता होती है विचारों में विरोध होती लेकिन फिर भी उसे में एकता होती है पत्रकार में नहीं आज तक न्यूज़ चैनल पर आशुतोष सर को गौरव भाटिया बोला दोनों कान पर थप्पड़ मारूंगा वहां बैठा पत्रकार रोहित सरदाना सुनती रही मुझे बहुत दुख  हुई,offensive,कुत्ते एकता विचारों विरोध एकता पत्रकार न्यूज़ चैनल आशुतोष सर गौरव भाटिया बोला कान थप्पड़ मारूंगा बैठा पत्रकार रोहित सरदाना सुनती मुझे दुख
24,"प्रणब मुखर्जी ने 37 प्रार्थियों से जुड़ी 28 दया याचिकाओं को खारिज कर दिया. प्रणब से पहले राष्ट्रपति रहीं प्रतिभा पाटिल ने सबसे ज्यादा 30 लोगों को फांसी के फंदे से बचाया था. प्रणब ने सिर्फ सात की फांसी की सजा माफ की.
https://t.co/1G44U1OR4R",non-hostile,प्रणब मुखर्जी 37 प्रार्थियों जुड़ी 28 दया याचिकाओं खारिज दिया. प्रणब राष्ट्रपति रहीं प्रतिभा पाटिल 30 लोगों फांसी फंदे बचाया था. प्रणब सिर्फ सात फांसी सजा माफ की. https://t.co/1G44U1OR4R
25,"लद्दाख के करीब चीन ने फिर से तैनात किए अपने J-20 लड़ाकू विमान, लगातार भर रहे हैं उड़ान-
#IndiaChinaFaceOff 

https://t.co/2VfWAZenTi",non-hostile,"लद्दाख करीब चीन तैनात J-20 लड़ाकू विमान, लगातार भर उड़ान- #IndiaChinaFaceOff https://t.co/2VfWAZenTi"
26,"@liHusin1 @KanganaTeam हा बे कटे लैंड की पैदाइस हलाला की ओलाद तुम्हे ये नही मालूम तेरा अबु कौन है और तेरी खाला जान चुदाईखाना को नहीं पता कि तेरा अबु मौलवी साहब है, चचा है ,भाई जान है या पड़ोस वाला अब्दुल,फारुख, रहिस चचा भी तेरे अबु जान हो सकते है।साला सुवर तेरी ...","hate,offensive","@liHusin1 @KanganaTeam हा बे कटे लैंड पैदाइस हलाला ओलाद तुम्हे नही मालूम तेरा अबु तेरी खाला जान चुदाईखाना पता तेरा अबु मौलवी साहब है, चचा ,भाई जान पड़ोस वाला अब्दुल,फारुख, रहिस चचा तेरे अबु जान है।साला सुवर तेरी ..."
27,गृह मंत्री अमित शाह को बोन कैंसर से जूझ रहे हैं,fake,गृह मंत्री अमित शाह बोन कैंसर जूझ
28,"ट्विटर पे बहुत से चूतिये मिलेंगे, जो साले हिंदुओं का विरोध करते हुए मिल जाएंगे... उनकी खुद की फेक id होती है, 
अब जैसे इसी चमन चूतिये को देखिए, पिस्टल पांडेय नाम रखे हैं और हिंदुओं के विरोध में लगे हुए है।
किसी का भाड़े का टट्टू होगा, विरोध करने के 100, 50 पा जा रहा होगा बस तभी। https://t.co/cwFuCzYP4O",hate,"ट्विटर चूतिये मिलेंगे, साले हिंदुओं विरोध मिल जाएंगे... फेक id है, चमन चूतिये देखिए, पिस्टल पांडेय नाम रखे हिंदुओं विरोध लगे है। भाड़े टट्टू होगा, विरोध 100, 50 पा होगा बस तभी। https://t.co/cwFuCzYP4O"
29,"@SalmanNizami_ राहुल गांधी - Maa मैं अगले 4 साल क्या करूंगा 🙃

सोनिया गांधी - बेटा TV रिचार्ज कर दिया है बैठकर छोटा भीम देख.😂😂😂",defamation,@SalmanNizami_ राहुल गांधी - Maa अगले 4 साल करूंगा 🙃 सोनिया गांधी - बेटा TV रिचार्ज बैठकर छोटा भीम देख.😂😂😂
30,"CCTV में रिकॉर्ड हुई चोर की चोरी, ढेर सारे सोने के सिक्के बरामद किए गए  
@capt_ivane @DelhiPolice 
#Delhi 
https://t.co/CWo9EqedoG",non-hostile,"CCTV रिकॉर्ड चोर चोरी, ढेर सोने सिक्के बरामद @capt_ivane @DelhiPolice #Delhi https://t.co/CWo9EqedoG"
31,टीवी पर आने से पहले इतनी तैयारी करता है ये गरीब आदमी,fake,टीवी आने इतनी तैयारी गरीब आदमी
32,"अब यह असंभव ही लग रहा है कि कोई ऐसा बंदा जो रिटायर हो चुका है और अब कोई क्रिकेट नहीं खेलेगा, वो CSK के लिए वापस आएगा. शायद, हो सकता है कि वह ऑक्शन में दोबारा जाएं और कोई दूसरी टीम उन्हें खरीद ले'

#CSK #SureshRaina
https://t.co/1PZ3fkb8Cj",non-hostile,"असंभव लग बंदा रिटायर चुका क्रिकेट खेलेगा, वो CSK वापस आएगा. शायद, ऑक्शन दोबारा जाएं दूसरी टीम खरीद ले' #CSK #SureshRaina https://t.co/1PZ3fkb8Cj"
33,"नई राष्ट्रीय शिक्षा नीति: तीन भाषा नीति को तमिलनाडु सरकार ने किया खारिज, कहा- दो भाषा पर ही होगा अमल

https://t.co/deEf7BQ4i3",non-hostile,"नई राष्ट्रीय शिक्षा नीति: तीन भाषा नीति तमिलनाडु सरकार खारिज, कहा- भाषा होगा अमल https://t.co/deEf7BQ4i3"
34,"भारत की असंगठित अर्थव्यवस्था पर दूसरा बड़ा हमला है जीएसटी: राहुल गांधी
https://t.co/0CxyP0rMyU",non-hostile,भारत असंगठित अर्थव्यवस्था हमला जीएसटी: राहुल गांधी https://t.co/0CxyP0rMyU
35,योगी आदित्यनाथ जी के अथक परिश्रम का ही प्रतिफल है कि उत्तर प्रदेश सभी विडम्बनाएं पीछे छोड़ सर्वांगीण विकास के रास्ते चल पड़ा है। जय हो @myogiadityanath जी।,hate,योगी आदित्यनाथ जी अथक परिश्रम प्रतिफल उत्तर प्रदेश विडम्बनाएं पीछे छोड़ सर्वांगीण विकास रास्ते चल पड़ा है। जय @myogiadityanath जी।
36,@Real_Deepika_: मोदी जी के मोर के साथ वाले फोटो पर राहुल गाँधी का करारा जवाब 😂🤣😂🤣 https://t.co/mb9bWDjbdP,defamation,@Real_Deepika_: मोदी जी मोर फोटो राहुल गाँधी करारा जवाब 😂🤣😂🤣 https://t.co/mb9bWDjbdP
37,"शांतिप्रिय द्वारा मोहम्मद पैगंबर पर आपत्तिजनक टिप्पणी के लिए बैंगलोर में उपद्रव😠

और हमारे यहाँ #हीर_खान  जो नियमित रूप से हिंदू देवी-देवताओं को गाली दे रही थी।
 
Although Prayagaj remained peaceful..!!",hate,शांतिप्रिय मोहम्मद पैगंबर आपत्तिजनक टिप्पणी बैंगलोर उपद्रव😠 हमारे #हीर_खान नियमित रूप हिंदू देवी-देवताओं गाली दे थी। Although Prayagaj remained peaceful..!!
38,"जेईई: पहली पाली की परीक्षा खत्म, बाहर निकले स्टूडेंट्स ने कहा- कोरोना को लेकर डर था, लेकिन खुशी इस बात की है कि हमारा एक साल बचा https://t.co/9wHy3UhO11 #JEEMain #JEE",non-hostile,"जेईई: पहली पाली परीक्षा खत्म, निकले स्टूडेंट्स कहा- कोरोना डर था, खुशी बात साल बचा https://t.co/9wHy3UhO11 #JEEMain #JEE"
39,जब दुनिया भर के विकसित देश बेहाल हो गए। इस दौरान प्रदेश ने जिस तरह डटकर इस मुश्किल वक्त का सामना किया वह सराहनीय है। योगी जी के पिता का स्वर्गवास भी हो गया लेकिन वह प्रदेश की जनता के प्रति अपनी प्रतिबद्घता दिखाते हुए लगातार जनता की सेवा में लगे रहे,offensive,दुनिया भर विकसित देश बेहाल गए। प्रदेश डटकर मुश्किल वक्त सामना सराहनीय है। योगी जी पिता स्वर्गवास प्रदेश जनता प्रतिबद्घता दिखाते लगातार जनता सेवा लगे
40,"प्रदेश अध्यक्ष @PankajSinghAAP जी की अध्यक्षता में आज भोपाल जोन के पदाधिकारियों की बैठक आयोजित हुई जिसमें 1 सितंबर से शुरू होने वाले ""ऑक्सीजन जांच अभियान"" के संबंध में प्रशिक्षण दिया गया व ऑक्सीमीटर वितरित किये गये।
@ArvindKejriwal @AapKaGopalRai https://t.co/6MmRnlg7Dh",non-hostile,"प्रदेश अध्यक्ष @PankajSinghAAP जी अध्यक्षता भोपाल जोन पदाधिकारियों बैठक आयोजित 1 सितंबर शुरू ""ऑक्सीजन जांच अभियान"" संबंध प्रशिक्षण ऑक्सीमीटर वितरित किये गये। @ArvindKejriwal @AapKaGopalRai https://t.co/6MmRnlg7Dh"
41,स्‍टीफन बेगुन ने भारत अमरीका सामरिक और साझेदारी मंच की ओर से वर्चुअल माध्‍यम से आयोजित तीसरे भारत-अमरीका नेतृत्‍व शिखर सम्‍मेलन में यह बात कही।,non-hostile,स्‍टीफन बेगुन भारत अमरीका सामरिक साझेदारी मंच वर्चुअल माध्‍यम आयोजित तीसरे भारत-अमरीका नेतृत्‍व शिखर सम्‍मेलन बात कही।
42,"क्या इंसानियत मर चुकी है ? 

https://t.co/zCq7knxxjc",non-hostile,इंसानियत मर चुकी ? https://t.co/zCq7knxxjc
43,"बधाई हो मोदी जी
आपकी मन की बात को पूरे 100 हज़ार डिसलाइक मिल चुके हैं 😂 https://t.co/BUEX28Lfpe",non-hostile,बधाई मोदी जी आपकी मन बात 100 हज़ार डिसलाइक मिल चुके 😂 https://t.co/BUEX28Lfpe
44,@LambaAlka केजरीवाल संघ शाखा की पैदाइश है संघ शाखा जिस तरह आतंक फैलती है झूठ फैलाती है उसी से इसने बचपन से शिक्षा दीक्षा ली है इसने तो प्लाज्मा डोनेट करके कोरोना परसेंट ठीक कर रही थी यह सब भ्रष्टाचार के जरिए अधिकारी बना  है ज्ञान नहीं इसके पास,"defamation,hate",@LambaAlka केजरीवाल संघ शाखा पैदाइश संघ शाखा आतंक फैलती झूठ फैलाती इसने बचपन शिक्षा दीक्षा ली इसने प्लाज्मा डोनेट करके कोरोना परसेंट ठीक सब भ्रष्टाचार जरिए अधिकारी बना ज्ञान पास
45,22 ग्राम गांजा की जांच सीबीआई कर रही है उसकी रिपोर्ट पूरी मीडिया कर रही है सो डेढ़ सौ ग्राम  गांजा तो बिहार के मुख्यमंत्री नीतीश कुमार के बंगला के छापा मारने पर मिल जाएगी कहां 22 ग्राम के पीछे पड़े,defamation,22 ग्राम गांजा जांच सीबीआई रिपोर्ट पूरी मीडिया डेढ़ सौ ग्राम गांजा बिहार मुख्यमंत्री नीतीश कुमार बंगला छापा मारने मिल जाएगी कहां 22 ग्राम पीछे पड़े
46,क्या बात बोल दी शर्मा जी। 🙏🏼 https://t.co/OSfcYiR5Vq,non-hostile,बात बोल दी शर्मा जी। 🙏🏼 https://t.co/OSfcYiR5Vq
47,"सुशांत सिंह राजपूत की संदिग्ध मौत का राज खोलने के लिए दिल्ली से गई CBI की 'स्पेशल 6' टीम सुशांत के घर पर क्राइम सीन का रिक्रिएशन करेगी.
#SushantSinghRajput @pramodsharma29 

https://t.co/SIbE07nARS",non-hostile,सुशांत सिंह राजपूत संदिग्ध मौत राज खोलने दिल्ली CBI 'स्पेशल 6' टीम सुशांत क्राइम सीन रिक्रिएशन करेगी. #SushantSinghRajput @pramodsharma29 https://t.co/SIbE07nARS
48,"#Lucknow
सीपी सुजीत पांडेय करेंगे प्रेस कॉन्फ्रेंस, 
जरूरी मुद्दो पर होगी प्रेस कॉन्फ्रेंस, 
3 बजे पुलिस लाइन में होगी प्रेस कॉनफ्रेंस। 
@lkopolice @LkoCp @Uppolice #Police #PoliceLivesMatter #PoliceBrutality #PoliceReform #policemedianews https://t.co/D9ZObVaNm0",non-hostile,"#Lucknow सीपी सुजीत पांडेय करेंगे प्रेस कॉन्फ्रेंस, जरूरी मुद्दो होगी प्रेस कॉन्फ्रेंस, 3 बजे पुलिस लाइन होगी प्रेस कॉनफ्रेंस। @lkopolice @LkoCp @Uppolice #Police #PoliceLivesMatter #PoliceBrutality #PoliceReform #policemedianews https://t.co/D9ZObVaNm0"
49,"तस्वीर बाबरी हॉस्पिटल का ब्लू प्रिंट दिखाती है

",fake,तस्वीर बाबरी हॉस्पिटल ब्लू प्रिंट दिखाती
50,"आम्रपाली की 28 परियोजनाओं की सूची ऑनलाइन, इसके निवेशक या खरीदार अपना नाम यहां ढूंढें
https://t.co/aHcisFPei8 via @NavbharatTimes 
#Amrapali #Property https://t.co/7OsydqiXdE",non-hostile,"आम्रपाली 28 परियोजनाओं सूची ऑनलाइन, निवेशक खरीदार नाम ढूंढें https://t.co/aHcisFPei8 via @NavbharatTimes #Amrapali #Property https://t.co/7OsydqiXdE"
51,"अमेरिका तक को रास्ता दिखाने वाले दिल्ली मॉडल की प्लाज़्मा थेरेपी ने दिल्ली में सैंकड़ों लोगों की जान बचाई है। इंसानियत और भाईचारे का संदेश देती परमजीत जी की ये कहानी आपको ज़रूर प्रेरित करेगी। 

#DonatePlasmaSaveLives https://t.co/FmCuQMN7Ix",non-hostile,अमेरिका रास्ता दिखाने दिल्ली मॉडल प्लाज़्मा थेरेपी दिल्ली सैंकड़ों लोगों जान बचाई है। इंसानियत भाईचारे संदेश देती परमजीत जी कहानी आपको ज़रूर प्रेरित करेगी। #DonatePlasmaSaveLives https://t.co/FmCuQMN7Ix
52,"हाल ही में एक हिन्दू महिला को एक कश्मीरी मुस्लिम लड़की को सहरी खिलाने पर आरएसएस के गुंडों ने पीटा| भारत आरएसएस के कब्जे में है| उनका मीडिया, लॉ एनफोर्समेंट, जुडिशरी और राष्ट्रिय सुरक्षा पर पूरा नियंत्रण है| क्या यह देश स्थिर रहेगा यदि ऐसा ही चलता रहा तो?",fake,"हाल हिन्दू महिला कश्मीरी मुस्लिम लड़की सहरी खिलाने आरएसएस गुंडों पीटा| भारत आरएसएस कब्जे है| मीडिया, लॉ एनफोर्समेंट, जुडिशरी राष्ट्रिय सुरक्षा नियंत्रण है| देश स्थिर रहेगा चलता तो?"
53,"देश की एकता, अखंडता और सम्प्रभुता की रक्षा के लिए निरस्त किया गया अनुच्छेद 370 : उप राष्ट्रपति @MVenkaiahNaidu 

 विवरण : https://t.co/622CJ2Wnoj",non-hostile,"देश एकता, अखंडता सम्प्रभुता रक्षा निरस्त अनुच्छेद 370 : उप राष्ट्रपति @MVenkaiahNaidu विवरण : https://t.co/622CJ2Wnoj"
54,"#JNU में हुई #तोड़फोड़ के बाद #गर्ल्स हॉस्टल में #बिखरा हुआ #सामान #धन्य हैं यहां की स्टूडेंट।
बहुत दुख हुआ इन लोगों की बुक्स देखकर सब फट गई है।","defamation,offensive",#JNU #तोड़फोड़ #गर्ल्स हॉस्टल #बिखरा #सामान #धन्य स्टूडेंट। दुख लोगों बुक्स देखकर सब फट है।
55,"Sudeep Birthday: इंजीनियरिंग की पढ़ाई के बाद एक्टिंग की दुनिया में आए किच्चा सुदीप, जानिए और भी कई रोचक बातें
@KicchaSudeep
https://t.co/M19d7IVo8Q",non-hostile,"Sudeep Birthday: इंजीनियरिंग पढ़ाई एक्टिंग दुनिया आए किच्चा सुदीप, जानिए रोचक बातें @KicchaSudeep https://t.co/M19d7IVo8Q"
56,"#TaalThokKe : रिया के खिलाफ बड़े सबूत !

#SushantKaSachKya पर ट्वीट कर दें अपनी राय 
Watch LIVE - https://t.co/gfUtRWrNnZ https://t.co/CM6RAyayME",non-hostile,#TaalThokKe : रिया सबूत ! #SushantKaSachKya ट्वीट दें राय Watch LIVE - https://t.co/gfUtRWrNnZ https://t.co/CM6RAyayME
57,"आज एक बैंक्वेट हॉल में हमने 100 बेड का कोरोना सेंटर शुरू किया। हर बेड पर ऑक्सिजन है। अब इस तरह से पूरी दिल्ली में कई बैंक्वेट हॉल में करोना सेंटर बनाए जाएँगे।

#DelhiFightsCorona https://t.co/EUnpnPlB5q",non-hostile,बैंक्वेट हॉल 100 बेड कोरोना सेंटर शुरू किया। हर बेड ऑक्सिजन है। पूरी दिल्ली बैंक्वेट हॉल करोना सेंटर बनाए जाएँगे। #DelhiFightsCorona https://t.co/EUnpnPlB5q
58,हिंदुस्तान में 90%  जज भ्रष्ट  जस्टिस काटजू हिंदुस्तान में पूरी व्यवस्था भ्रष्ट और नष्ट हो चुकी है क्रांति की जरूरत जस्टिस काटजू  न्यायालय से न्याय की उम्मीद मूर्ख लोग करते हैं  जस्टिस काटजू भारत के संतरी से लेकर मंत्री तक भ्रष्ट जस्टिस काटजू देश में क्रांति की जरूरत,defamation,हिंदुस्तान 90% जज भ्रष्ट जस्टिस काटजू हिंदुस्तान पूरी व्यवस्था भ्रष्ट नष्ट चुकी क्रांति जरूरत जस्टिस काटजू न्यायालय न्याय उम्मीद मूर्ख लोग जस्टिस काटजू भारत संतरी मंत्री भ्रष्ट जस्टिस काटजू देश क्रांति जरूरत
59,@KapilMishra_IND ये साला टिकट ब्लैकिया इतनी हिम्मत लाता कहाँ से है,offensive,@KapilMishra_IND साला टिकट ब्लैकिया इतनी हिम्मत लाता
60,"RT @ShilpiSinghINC: कंगना का सपोर्ट करने वाली मीडिया से उम्मीद है कि जब 48,000 झुग्गियों को तोड़ने के लिए JCB आएगी तब उसका भी विरोध करेगी!…",offensive,"RT @ShilpiSinghINC: कंगना सपोर्ट वाली मीडिया उम्मीद 48,000 झुग्गियों तोड़ने JCB आएगी विरोध करेगी!…"
61,"कर्नाटक  BJP के C.M के मंच से ही जब गुरु जी ने CAA का विरोध किया तो 
   CM साहब भड़क उठे 😛😛 ऐसी बे इज्जती आपने कभी नही देखी होगी
   दलाल मीडिया के चाटूकार पत्रकारो ने एक बार भी नही चलाया
करो तो ज़रा फेमस गुरू जी को😂",offensive,कर्नाटक BJP C.M मंच गुरु जी CAA विरोध CM साहब भड़क उठे 😛😛 ऐसी बे इज्जती आपने नही देखी होगी दलाल मीडिया चाटूकार पत्रकारो बार नही चलाया करो ज़रा फेमस गुरू जी को😂
62,"बिहार में चुनावी मुद्दा बना सुशांत सिंह राजपूत की मौत, BJP ने दिया नारा, "" न भूले हैं, ना भूलने देंगे""

@kumarprakash4u  की रिपोर्ट

https://t.co/HCp3i2VURp",non-hostile,"बिहार चुनावी मुद्दा बना सुशांत सिंह राजपूत मौत, BJP नारा, "" भूले हैं, भूलने देंगे"" @kumarprakash4u रिपोर्ट https://t.co/HCp3i2VURp"
63,बेंगलुरु में कोरोना से ठीक हो चुकी मरीज़ को दोबारा संक्रमण का संदेह https://t.co/eU5cqZqNUb,non-hostile,बेंगलुरु कोरोना ठीक चुकी मरीज़ दोबारा संक्रमण संदेह https://t.co/eU5cqZqNUb
